libpst 0.6.71-4
libpulse 12.2-2
libpwquality 1.4.0-1
libqmi 1.20.2-1
libquvi 0.9.4-5
libquvi-scripts 0.9.20131130-4
libqxp 0.0.1-4
libraqm 0.5.0-1
libraw 0.19.0-1
libraw1394 2.1.2-1
libreoffice-fresh 6.1.2-2
librevenge 0.0.4-2
librsvg 2:2.44.8-1
libsamplerate 0.1.9-1
libsasl 2.1.26-13
libseccomp 2.3.3-1
libsecret 0.18.6-1
libshout 1:2.4.1-3
libsidplay 1.36.59-8
libsigc++ 2.10.1-1
libsigsegv 2.12-1
libsm 1.2.3-1
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.64.2-1
libsoxr 0.1.3-1
libspectre 0.2.8-1
libspiro 1:0.5.20150702-2
libspotify 12.1.51-6
libsrtp 1:2.2.0-1
libssh 0.8.5-1
libssh2 1.8.0-2
libstaroffice 0.0.6-1
libstemmer 0+337-2
libsynctex 2018.47465-4
libsystemd 239.2-1
libtasn1 4.13-1
libteam 1.27-2
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.9-2
libtirpc 1.1.4-1
libtommath 1.0.1-1
libtool 2.4.6+42+gb88cebd5-2
libunique 1.1.6-7
libunistring 0.9.10-1
libunwind 1.2.1-1
libusb 1.0.22-1
libusbmuxd 1.0.10+13+gc724e70-1
libutempter 1.1.6-3
libutil-linux 2.32.1-2
libuv 1.23.2-1
libva 2.3.0-1
libvdpau 1.1.1+3+ga21bf7a-1
libvisio 0.1.6-5
libvisual 0.4.0-7
libvoikko 4.2-1
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.31-1
libwbclient 4.8.5-1
libwebp 1.0.0-1
libwnck 2.31.0-2
libwnck3 3.30.0-1
libwpd 0.10.2-1
libwpg 0.3.2-1
libwps 0.4.10-1
libx11 1.6.7-1
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdg-basedir 1.2.0-4
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfce4ui 4.12.1-2
libxfce4util 4.13.2-1
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-1
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxklavier 5.4-2
libxml2 2.9.8-6
libxmu 1.1.2-2
libxpm 3.5.12-1
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-1
libxv 1.0.11-1
libxxf86dga 1.1.4-2
libxxf86misc 1.0.4-1
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libytnef 1.9.3+7+g24fe30e-1
libzapojit 0.0.3+11+g840627d-2
libzen 0.4.37-2
libzip 1.5.1-1
libzmf 0.0.2-5
licenses 20171006-1
light-locker 1.8.0-1
light-locker-settings 1.5.3-1
lightdm 1:1.28.0-1
lightdm-webkit2-greeter 2.2.5-1
linux 4.18.16.arch1-1
linux-api-headers 4.17.11-1
linux-firmware 20181018.d877533-1
llvm-libs 7.0.0-1
lm_sensors 3.4.0+5176+dcf23676-1
lmdb 0.9.22-1
log4c 1.2.4-2
logrotate 3.14.0-1
lpsolve 5.5.2.5-2
lsof 4.91-1
lua 5.3.5-1
lua52 5.2.4-3
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.1-2
lua52-luajson 1.3.4-1
lua52-socket 20160311-1
lvm2 2.02.181-1
lxappearance 0.6.3-1
lz4 1:1.8.3-1
lzo 2.10-1
m17n-db 1.8.0-2
m17n-lib 1.8.0-4
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.8.4-1
man-pages 4.16-2
mdadm 4.0-1
media-player-info 23-1
mediainfo 18.08.1-1
mesa 18.2.3-1
mesa-vdpau 18.2.3-1
meson 0.48.1-1
metis 5.1.0.p3-1
minizip 1:1.2.11-3
mjpegtools 2.1.0-3
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
mlocate 0.26.git.20170220-1
mlt 6.10.0-1
mobile-broadband-provider-info 20170310-1
modemmanager 1.8.2-1
mousepad 0.4.1-1
mozilla-common 1.4-5
mpfr 4.0.1-1
mpg123 1.25.10-1
mtdev 1.1.5-2
mutagen 1.41.1-1
mutter 3.30.1+8+g1abab3fe2-1
nano 3.1-1
nautilus 3.30.3-1
nautilus-sendto 3.8.6+14+ge8a3604-1
ncurses 6.1-4
ndctl 63-1
neon 0.30.2-3
net-snmp 5.8-1
net-tools 1.60.20180212git-1
netctl 1.18-1
nettle 3.4-1
network-manager-applet 1.8.19dev+21+geebf7f95-1
networkmanager 1.14.5dev+17+gba83251bb-1
networkmanager-openvpn 1.8.8-1
networkmanager-pptp 1.2.8-1
nfs-utils 2.3.3-1
nfsidmap 2.3.3-1
nilfs-utils 2.2.7-1
ninja 1.8.2-1
nm-connection-editor 1.8.19dev+21+geebf7f95-1
nmap 7.70-2
node-gyp 3.8.0-1
nodejs 11.0.0-2
noto-fonts-cjk 20170601-2
npm 6.4.1-1
npth 1.6-1
nspr 4.20-1
nss 3.40-1
ntfs-3g 2017.3.23-3
numix-frost-themes 3.6.6-1
numix-gtk-theme 2.6.7-1
numix-icon-theme 1:18.07.17-1
numix-icon-theme-square 2:18.08.29-1
nvidia 410.66-3
nvidia-cg-toolkit 3.1-4
nvidia-utils 410.66-1
obs-studio 22.0.2-1
ocl-icd 2.2.12-3
openal 1.19.1-1
opencl-mesa 18.2.3-1
opencl-nvidia 410.66-1
opencore-amr 0.1.5-1
openexr 2.3.0-1
openjpeg2 2.3.0-3
openresolv 3.9.0-1
openssh 7.9p1-1
openssl 1.1.1-1
openssl-1.0 1.0.2.p-1
openvpn 2.4.6-1
opus 1.3-1
opusfile 0.11-1
orage 4.12.1-4
orc 0.4.28-1
os-prober 1.76-1
osinfo-db 20180903-1
osx-arc-darker 1.4.7-2
osx-arc-plus 1.4.7-2
osx-arc-shadow 1.4.7-2
osx-arc-white 1.4.7-2
otf-font-awesome-4 4.7.0-5
otf-san-francisco 1:1.0-4
p11-kit 0.23.14-1
package-query 1.9.r380-3
pacman 5.1.1-1
pacman-mirrorlist 20180912-1
pam 1.3.1-1
pamac 6.4.0-1
pambase 20171006-1
pandoc 2.3.1-22
pango 1.42.4-1
pango-perl 1.227-9
pangomm 2.40.1-2
paper-icon-theme 1.5.0-2
papirus-icon-theme 20181007-1
parole 1.0.1-1
parted 3.2-7
patch 2.7.6-3
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.6.1-1
pcmciautils 018-8
pcre 8.42-1
pcre2 10.32-1
perl 5.28.0-1
perl-clone 0.41-1
perl-dbi 1.642-1
perl-encode-locale 1.05-4
perl-error 0.17027-1
